779	core	Ehrlichia ruminantium	Ehrlichia ruminantium
807	periphery	Bartonella elizabethae	Bartonella elizabethae
820	periphery	Bacteroides uniformis	Bacteroides uniformis
824	periphery	Campylobacter gracilis	Campylobacter gracilis
847	core	Oxalobacter formigenes	Oxalobacter formigenes
859	core	Fusobacterium necrophorum	Fusobacterium necrophorum
867	core	Ruminobacter amylophilus	Ruminobacter amylophilus
882	core	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio vulgaris Hildenborough
883	periphery	Desulfovibrio vulgaris str. 'Miyazaki F'	Desulfovibrio vulgaris Miyazaki
897	core	Desulfococcus multivorans	Desulfococcus multivorans
901	periphery	Desulfovibrio piger	Desulfovibrio piger
917	periphery	Nitrosomonas marina	Nitrosomonas marina
930	core	Acidithiobacillus thiooxidans	Acidithiobacillus thiooxidans
955	core	Wolbachia pipientis	Wolbachia pipientis
966	core	Oceanospirillum linum	Oceanospirillum linum
971	core	Selenomonas ruminantium	Selenomonas ruminantium
983	periphery	Flavobacterium flevense	Flavobacterium flevense
991	periphery	Flavobacterium hydatis	Flavobacterium hydatis
1003	core	Thermoflexibacter ruber	Thermoflexibacter ruber
1004	periphery	Chitinophaga sancti	Chitinophaga sancti
1010	core	Sphingobacterium mizutaii	Sphingobacterium mizutaii
1028	periphery	Marivirga sericea	Marivirga sericea
1035	periphery	Afipia felis	Afipia felis
1044	core	Erythrobacter longus	Erythrobacter longus
1058	core	Thiocapsa roseopersicina	Thiocapsa roseopersicina
1079	core	Blastochloris viridis	Blastochloris viridis
1112	periphery	Porphyrobacter neustonensis	Porphyrobacter neustonensis
1140	core	Synechococcus elongatus PCC 7942	Synechococcus elongatus
1147	periphery	Synechocystis sp. PCC 6714	Synechocystis sp. PCC6714
1148	core	Synechocystis sp. PCC 6803	Synechocystis sp. PCC6803
1188	core	Tolypothrix sp. PCC 7601	Tolypothrix sp. PCC7601
1233	core	Nitrosovibrio tenuis	Nitrosovibrio tenuis
1238	core	Piscirickettsia salmonis	Piscirickettsia salmonis
1245	core	Leuconostoc mesenteroides	Leuconostoc mesenteroides
1246	periphery	Leuconostoc lactis	Leuconostoc lactis
1254	core	Pediococcus acidilactici	Pediococcus acidilactici
1261	core	Peptostreptococcus anaerobius	Peptostreptococcus anaerobius
1265	core	Ruminococcus flavefaciens	Ruminococcus flavefaciens
1267	periphery	Clostridium ventriculi	Clostridium ventriculi
1272	core	Kocuria varians	Kocuria varians
1274	core	Dermacoccus nishinomiyaensis	Dermacoccus nishinomiyaensis
1281	periphery	Staphylococcus carnosus	Staphylococcus carnosus
1283	core	Staphylococcus haemolyticus	Staphylococcus haemolyticus
1284	periphery	Staphylococcus hyicus	Staphylococcus hyicus
1286	periphery	Staphylococcus simulans	Staphylococcus simulans
1288	periphery	Staphylococcus xylosus	Staphylococcus xylosus
1293	periphery	Staphylococcus gallinarum	Staphylococcus gallinarum
1295	periphery	Staphylococcus schleiferi	Staphylococcus schleiferi
1296	periphery	Staphylococcus sciuri	Staphylococcus sciuri
1303	periphery	Streptococcus oralis	Streptococcus oralis
1304	periphery	Streptococcus salivarius	Streptococcus salivarius
1314	core	Streptococcus pyogenes	Streptococcus pyogenes
1326	periphery	Streptococcus acidominimus	Streptococcus acidominimus
1335	periphery	Streptococcus equinus	Streptococcus equinus
1338	periphery	Streptococcus intermedius	Streptococcus intermedius
1346	periphery	Streptococcus iniae	Streptococcus iniae
1352	core	Enterococcus faecium	Enterococcus faecium
1353	periphery	Enterococcus gallinarum	Enterococcus gallinarum
1354	periphery	Enterococcus hirae	Enterococcus hirae
1364	periphery	Lactococcus piscium	Lactococcus piscium
1371	periphery	Marinococcus halophilus	Marinococcus halophilus
1374	periphery	Planococcus kocurii	Planococcus kocurii
1377	core	Aerococcus viridans	Aerococcus viridans
1379	core	Gemella haemolysans	Gemella haemolysans
1381	periphery	Atopobium minutum	Atopobium minutum
1383	periphery	Atopobium rimae	Atopobium rimae
1397	periphery	Bacillus circulans	Bacillus circulans
1398	periphery	Bacillus coagulans	Bacillus coagulans
1399	periphery	Bacillus firmus	Bacillus firmus
1401	periphery	Paenibacillus lautus	Paenibacillus lautus
1405	periphery	Bacillus mycoides	Bacillus mycoides
1406	core	Paenibacillus polymyxa	Paenibacillus polymyxa
1421	core	Lysinibacillus sphaericus	Lysinibacillus sphaericus
1426	core	Parageobacillus thermoglucosidasius	Parageobacillus thermoglucosidasius
1452	periphery	Bacillus atrophaeus	Bacillus atrophaeus
1455	periphery	Bacillus badius	Bacillus badius
1459	core	Sporosarcina globispora	Sporosarcina globispora
1472	periphery	Paenibacillus pabuli	Paenibacillus pabuli
1476	periphery	Sporosarcina psychrophila	Sporosarcina psychrophila
1478	periphery	Bacillus simplex	Bacillus simplex
1479	periphery	Bacillus smithii	Bacillus smithii
1482	periphery	Virgibacillus halodenitrificans	Virgibacillus halodenitrificans
1484	core	Hydrogenibacillus schlegelii	Hydrogenibacillus schlegelii
1490	core	Paraclostridium bifermentans	Paraclostridium bifermentans
1492	core	Clostridium butyricum	Clostridium butyricum
1494	periphery	Clostridium cochlearium	Clostridium cochlearium
1497	periphery	Clostridium formicaceticum	Clostridium formicaceticum
1503	core	Gottschalkia purinilytica	Gottschalkia purinilytica
1504	periphery	Clostridium septicum	Clostridium septicum
1505	core	Paeniclostridium sordellii	Paeniclostridium sordellii
1511	core	Acetoanaerobium sticklandii	Acetoanaerobium sticklandii
1512	periphery	[Clostridium] symbiosum	Clostridium symbiosum
1519	periphery	Clostridium tyrobutyricum	Clostridium tyrobutyricum
1520	periphery	Clostridium beijerinckii	Clostridium beijerinckii
1526	periphery	[Clostridium] aminophilum	Clostridium aminophilum
1527	core	Anaerocolumna aminovalerica	Anaerocolumna aminovalerica
1528	periphery	Eubacterium barkeri	Eubacterium barkeri
1529	periphery	Clostridium cadaveris	Clostridium cadaveris
1533	periphery	Clostridium fallax	Clostridium fallax
1548	periphery	Clostridium scatologenes	Clostridium scatologenes
1552	periphery	Clostridium estertheticum subsp. estertheticum	Clostridium estertheticum
1561	periphery	Clostridium baratii	Clostridium baratii
1571	periphery	Sporosarcina ureae	Sporosarcina ureae
1582	core	Lactobacillus casei	Lactobacillus casei
1583	periphery	Weissella confusa	Weissella confusa
1587	core	Lactobacillus helveticus	Lactobacillus helveticus
1589	core	Lactobacillus pentosus	Lactobacillus pentosus
1600	core	Lactobacillus acetotolerans	Lactobacillus acetotolerans
1601	core	Lactobacillus agilis	Lactobacillus agilis
1604	core	Lactobacillus amylovorus	Lactobacillus amylovorus
1612	core	Lactobacillus farciminis	Lactobacillus farciminis
1613	core	Lactobacillus fermentum	Lactobacillus fermentum
1614	core	Lactobacillus fructivorans	Lactobacillus fructivorans
1616	periphery	Weissella kandleri	Weissella kandleri
1618	core	Lactobacillus mali	Lactobacillus mali
1620	core	Weissella minor	Weissella minor
1622	core	Lactobacillus murinus	Lactobacillus murinus
1629	periphery	Weissella viridescens	Weissella viridescens
1630	core	Kandleria vitulina	Kandleria vitulina
1631	core	Fructobacillus fructosus	Fructobacillus fructosus
1648	core	Erysipelothrix rhusiopathiae	Erysipelothrix rhusiopathiae
1655	core	Actinomyces naeslundii	Actinomyces naeslundii
1657	core	Actinobaculum suis	Actinobaculum suis
1660	core	Schaalia odontolytica	Schaalia odontolytica
1661	core	Trueperella pyogenes	Trueperella pyogenes
1681	core	Bifidobacterium bifidum	Bifidobacterium bifidum
1683	periphery	Bifidobacterium angulatum	Bifidobacterium angulatum
1685	periphery	Bifidobacterium breve	Bifidobacterium breve
1687	periphery	Bifidobacterium coryneforme	Bifidobacterium coryneforme
1688	periphery	Bifidobacterium cuniculi	Bifidobacterium cuniculi
1692	periphery	Bifidobacterium magnum	Bifidobacterium magnum
1693	periphery	Bifidobacterium minimum	Bifidobacterium minimum
1697	periphery	Corynebacterium ammoniagenes	Corynebacterium ammoniagenes
1703	core	Brevibacterium linens	Brevibacterium linens
1705	periphery	Corynebacterium stationis	Corynebacterium stationis
1713	core	Oerskovia turbata	Oerskovia turbata
1724	periphery	Corynebacterium renale	Corynebacterium renale
1725	periphery	Corynebacterium xerosis	Corynebacterium xerosis
1732	periphery	Eubacterium oxidoreducens	Eubacterium oxidoreducens
1736	core	Eubacterium limosum	Eubacterium limosum
1747	core	Cutibacterium acnes	Cutibacterium acnes
1765	core	Mycobacterium tuberculosis variant bovis	Mycobacterium tuberculosis variant bovis
1766	core	Mycolicibacterium fortuitum	Mycolicibacterium fortuitum
1768	periphery	Mycobacterium kansasii	Mycobacterium kansasii
1771	periphery	Mycolicibacterium phlei	Mycolicibacterium phlei
1774	periphery	Mycobacteroides chelonae	Mycobacteroides chelonae
1776	periphery	Mycolicibacterium flavescens	Mycolicibacterium flavescens
1777	periphery	Mycobacterium gastri	Mycobacterium gastri
1778	periphery	Mycobacterium gordonae	Mycobacterium gordonae
1780	periphery	Mycobacterium malmoense	Mycobacterium malmoense
1782	periphery	Mycolicibacter nonchromogenicus	Mycolicibacter nonchromogenicus
1783	periphery	Mycobacterium scrofulaceum	Mycobacterium scrofulaceum
1784	core	Mycobacterium simiae	Mycobacterium simiae
1787	periphery	Mycobacterium szulgai	Mycobacterium szulgai
1788	core	Mycolicibacter terrae	Mycolicibacter terrae
1789	periphery	Mycobacterium xenopi	Mycobacterium xenopi
1790	periphery	Mycobacterium asiaticum	Mycobacterium asiaticum
1791	periphery	Mycolicibacterium aurum	Mycolicibacterium aurum
1793	periphery	Mycolicibacterium fallax	Mycolicibacterium fallax
1795	periphery	Mycolicibacterium neoaurum	Mycolicibacterium neoaurum
1796	periphery	Mycolicibacterium senegalense	Mycolicibacterium senegalense
1797	periphery	Mycolicibacterium thermoresistibile	Mycolicibacterium thermoresistibile
1798	core	Mycolicibacillus trivialis	Mycolicibacillus trivialis
1801	periphery	Mycolicibacterium diernhoferi	Mycolicibacterium diernhoferi
1806	periphery	Mycobacterium tuberculosis variant microti	Mycobacterium tuberculosis variant microti
1807	periphery	Mycolicibacterium obuense	Mycolicibacterium obuense
1824	core	Nocardia asteroides	Nocardia asteroides
1829	periphery	Rhodococcus rhodochrous	Rhodococcus rhodochrous
1833	periphery	Rhodococcus erythropolis	Rhodococcus erythropolis
1844	core	Nocardioides luteus	Nocardioides luteus
1848	periphery	Pseudonocardia thermophila	Pseudonocardia thermophila
1869	core	Actinoplanes utahensis	Actinoplanes utahensis
1888	periphery	Streptomyces albus	Streptomyces albus
1889	periphery	Streptomyces ambofaciens	Streptomyces ambofaciens
1890	periphery	Streptomyces antibioticus	Streptomyces antibioticus
1893	periphery	Streptomyces atratus	Streptomyces atratus
1894	core	Kitasatospora aureofaciens	Kitasatospora aureofaciens
1896	periphery	Streptomyces bikiniensis	Streptomyces bikiniensis
1901	periphery	Streptomyces clavuligerus	Streptomyces clavuligerus
1905	periphery	Streptomyces exfoliatus	Streptomyces exfoliatus
1906	periphery	Streptomyces fradiae	Streptomyces fradiae
1907	periphery	Streptomyces glaucescens	Streptomyces glaucescens
1911	periphery	Streptomyces griseus	Streptomyces griseus
1915	periphery	Streptomyces lincolnensis	Streptomyces lincolnensis
1935	periphery	Streptomyces violaceoruber	Streptomyces violaceoruber
1943	periphery	Streptomyces griseoruber	Streptomyces griseoruber
1957	periphery	Streptomyces sclerotialus	Streptomyces sclerotialus
1963	periphery	Streptomyces olivochromogenes	Streptomyces olivochromogenes
1968	periphery	Streptomyces cellulosae	Streptomyces cellulosae
1993	core	Actinomadura madurae	Actinomadura madurae
1996	core	Microtetraspora glauca	Microtetraspora glauca
2002	periphery	Streptosporangium amethystogenes	Streptosporangium amethystogenes
2017	core	Streptoalloteichus hindustanus	Streptoalloteichus hindustanus
2035	core	Curtobacterium flaccumfaciens	Curtobacterium flaccumfaciens
2036	periphery	Curtobacterium citreum	Curtobacterium citreum
2041	core	Aeromicrobium erythreum	Aeromicrobium erythreum
2045	core	Pimelobacter simplex	Pimelobacter simplex
2055	core	Gordonia terrae	Gordonia terrae
2064	periphery	Kitasatospora griseola	Kitasatospora griseola
2074	core	Pseudonocardia autotrophica	Pseudonocardia autotrophica
2094	core	Mycoplasma arginini	Mycoplasma arginini
2100	core	Mycoplasma hyorhinis	Mycoplasma hyorhinis
2113	core	Mycoplasma californicum	Mycoplasma californicum
2133	core	Spiroplasma citri	Spiroplasma citri
2138	periphery	Spiroplasma poulsonii	Spiroplasma poulsonii
2162	periphery	Methanobacterium formicicum	Methanobacterium formicicum
2177	periphery	Methanohalophilus halophilus	Methanohalophilus halophilus
2200	core	Methanoculleus thermophilus	Methanoculleus thermophilus
2309	core	Pyrodictium occultum	Pyrodictium occultum
2325	core	Thermoanaerobacter kivui	Thermoanaerobacter kivui
2340	periphery	Solemya velum gill symbiont	Solemya velum
2342	core	Candidatus Sodalis pierantonius str. SOPE	Sodalis pierantonius
2423	core	Fervidobacterium islandicum	Fervidobacterium islandicum
2702	core	Gardnerella vaginalis	Gardnerella vaginalis
2711	periphery	Citrus sinensis	Citrus sinensis
2718	core	Cardiobacterium hominis	Cardiobacterium hominis
2741	core	Peptococcus niger	Peptococcus niger
2748	core	Carnobacterium divergens	Carnobacterium divergens
2754	core	Synergistes jonesii	Synergistes jonesii
2756	core	Brochothrix thermosphacta	Brochothrix thermosphacta
2769	core	Chondrus crispus	Chondrus crispus
2880	core	Ectocarpus siliculosus	Ectocarpus siliculosus
2903	core	Emiliania huxleyi	Emiliania huxleyi
3055	core	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii
3068	periphery	Volvox carteri f. nagariensis	Volvox carteri
3075	periphery	Auxenochlorella protothecoides	Auxenochlorella protothecoides
3076	core	Chlorella sorokiniana	Chlorella sorokiniana
3088	core	Tetradesmus obliquus	Tetradesmus obliquus
3218	core	Physcomitrella patens	Physcomitrella patens
3469	core	Papaver somniferum	Papaver somniferum
3476	periphery	Parasponia andersonii	Parasponia andersonii
3562	core	Spinacia oleracea	Spinacia oleracea
3635	periphery	Gossypium hirsutum	Gossypium hirsutum
3641	periphery	Theobroma cacao	Theobroma cacao
3659	periphery	Cucumis sativus	Cucumis sativus
3694	periphery	Populus trichocarpa	Populus trichocarpa
3702	core	Arabidopsis thaliana	Arabidopsis thaliana	thale cress
3708	periphery	Brassica napus	Brassica napus
3750	core	Malus domestica	Malus domestica
3760	periphery	Prunus persica	Prunus persica
3775	periphery	Cephalotus follicularis	Cephalotus follicularis
3818	periphery	Arachis hypogaea	Arachis hypogaea
3821	periphery	Cajanus cajan	Cajanus cajan
3827	periphery	Cicer arietinum	Cicer arietinum
3847	core	Glycine max	Glycine max
3871	periphery	Lupinus angustifolius	Lupinus angustifolius
3880	periphery	Medicago truncatula	Medicago truncatula
3885	periphery	Phaseolus vulgaris	Phaseolus vulgaris
3914	periphery	Vigna angularis	Vigna angularis
3916	periphery	Vigna radiata var. radiata	Vigna radiata
3983	periphery	Manihot esculenta	Manihot esculenta
3988	periphery	Ricinus communis	Ricinus communis
4072	periphery	Capsicum annuum	Capsicum annuum
4081	periphery	Solanum lycopersicum	Solanum lycopersicum
4096	periphery	Nicotiana sylvestris	Nicotiana sylvestris
4097	periphery	Nicotiana tabacum	Nicotiana tabacum
4113	core	Solanum tuberosum	Solanum tuberosum
4155	periphery	Erythranthe guttata	Erythranthe guttata
4232	core	Helianthus annuus	Helianthus annuus
4236	periphery	Lactuca sativa	Lactuca sativa
4432	core	Nelumbo nucifera	Nelumbo nucifera
4529	periphery	Oryza rufipogon	Oryza rufipogon
4533	periphery	Oryza brachyantha	Oryza brachyantha
4536	periphery	Oryza sativa f. spontanea	Oryza sativa f. spontanea
4537	periphery	Oryza punctata	Oryza punctata
4538	periphery	Oryza glaberrima	Oryza glaberrima
4540	periphery	Panicum miliaceum	Panicum miliaceum
4555	periphery	Setaria italica	Setaria italica
4558	periphery	Sorghum bicolor	Sorghum bicolor
4565	core	Triticum aestivum	Triticum aestivum
4572	periphery	Triticum urartu	Triticum urartu
4577	core	Zea mays	Zea mays
4615	periphery	Ananas comosus	Ananas comosus
4779	periphery	Bremia lactucae	Bremia lactucae
4781	periphery	Plasmopara halstedii	Plasmopara halstedii
4790	periphery	Phytophthora nicotianae	Phytophthora nicotianae
4795	periphery	Phytophthora megakarya	Phytophthora megakarya
4829	core	Absidia glauca	Absidia glauca
4846	core	Rhizopus stolonifer	Rhizopus stolonifer
4909	core	Pichia kudriavzevii	Pichia kudriavzevii
4932	core	Saccharomyces cerevisiae	Saccharomyces cerevisiae	yeast
4955	periphery	Lachancea fermentati	Lachancea fermentati
4999	periphery	Kockovaella imperatae	Kockovaella imperatae
5007	periphery	Brettanomyces bruxellensis	Brettanomyces bruxellensis
5078	periphery	Penicillium griseofulvum	Penicillium griseofulvum
5098	core	Monascus purpureus	Monascus purpureus
5217	core	Tremella mesenterica	Tremella mesenterica
5286	core	Rhodotorula toruloides	Rhodotorula toruloides
5288	periphery	Rhodotorula diobovata	Rhodotorula diobovata
5353	core	Lentinula edodes	Lentinula edodes
5364	core	Heliocybe sulcata	Heliocybe sulcata
5454	periphery	Ascochyta rabiei	Ascochyta rabiei
5466	core	Colletotrichum trifolii	Colletotrichum trifolii
5486	periphery	Candida viswanathii	Candida viswanathii
5514	core	Fusarium sporotrichioides	Fusarium sporotrichioides
5539	core	Scytalidium lignicola	Scytalidium lignicola
5599	core	Alternaria alternata	Alternaria alternata
5601	periphery	Phialophora americana	Phialophora americana
5627	core	Grifola frondosa	Grifola frondosa
5643	periphery	Trametes cinnabarina	Trametes cinnabarina
5660	periphery	Leishmania braziliensis	Leishmania braziliensis
5664	core	Leishmania major	Leishmania major
5671	periphery	Leishmania infantum	Leishmania infantum
5722	core	Trichomonas vaginalis	Trichomonas vaginalis
5759	core	Entamoeba histolytica	Entamoeba histolytica
5762	core	Naegleria gruberi	Naegleria gruberi
5786	periphery	Dictyostelium purpureum	Dictyostelium purpureum
5823	core	Plasmodium berghei ANKA	Plasmodium berghei
5851	periphery	Plasmodium knowlesi strain H	Plasmodium knowlesi
5865	core	Babesia bovis	Babesia bovis
5866	periphery	Babesia bigemina	Babesia bigemina
5874	periphery	Theileria annulata	Theileria annulata
5875	periphery	Theileria parva	Theileria parva
5888	core	Paramecium tetraurelia	Paramecium tetraurelia
6182	periphery	Schistosoma japonicum	Schistosoma japonicum
6183	core	Schistosoma mansoni	Schistosoma mansoni
6184	periphery	Schistosoma bovis	Schistosoma bovis
6185	periphery	Schistosoma haematobium	Schistosoma haematobium
6186	periphery	Schistosoma curassoni	Schistosoma curassoni
6188	periphery	Schistosoma rodhaini	Schistosoma rodhaini
6198	periphery	Opisthorchis viverrini	Opisthorchis viverrini
6205	periphery	Hydatigera taeniaeformis	Hydatigera taeniaeformis
6210	core	Echinococcus granulosus	Echinococcus granulosus
6211	periphery	Echinococcus multilocularis	Echinococcus multilocularis
6216	periphery	Hymenolepis diminuta	Hymenolepis diminuta
6238	periphery	Caenorhabditis briggsae	Caenorhabditis briggsae
6239	core	Caenorhabditis elegans	Caenorhabditis elegans	worm
6248	core	Strongyloides stercoralis	Strongyloides stercoralis
6265	periphery	Toxocara canis	Toxocara canis
6277	periphery	Acanthocheilonema viteae	Acanthocheilonema viteae
6279	core	Brugia malayi	Brugia malayi
6280	periphery	Brugia pahangi	Brugia pahangi
6282	periphery	Onchocerca volvulus	Onchocerca volvulus
6290	periphery	Haemonchus placei	Haemonchus placei
6293	periphery	Wuchereria bancrofti	Wuchereria bancrofti
6313	periphery	Angiostrongylus cantonensis	Angiostrongylus cantonensis
6334	core	Trichinella spiralis	Trichinella spiralis
6335	periphery	Trichinella nativa	Trichinella nativa
6336	periphery	Trichinella nelsoni	Trichinella nelsoni
6337	periphery	Trichinella pseudospiralis	Trichinella pseudospiralis
6412	core	Helobdella robusta	Helobdella robusta
6526	core	Biomphalaria glabrata	Biomphalaria glabrata
6573	core	Mizuhopecten yessoensis	Mizuhopecten yessoensis
