11176	Newcastle disease virus (strain Chicken/United States/B1/48)	Newcastle disease virus (NDV)	NDV
11191	Sendai virus (strain Ohita)	Sendai virus (SeV)	SeV
11234	Measles virus (strain Ichinose-B95a)	Measles virus (MeV)	MeV
11250	Human respiratory syncytial virus B (strain B1)	Human respiratory syncytial virus B (RSV)	RSV
11269	Marburg virus (strain Kenya/Musoke/1980)	Lake Victoria marburgvirus (MARV)	MARV
11277	Vesicular stomatitis Indiana virus (strain San Juan)	Vesicular stomatitis Indiana virus (VSIV)	VSIV
11290	Infectious hematopoietic necrosis virus (strain WRAC)	Infectious hematopoietic necrosis virus (IHNV)	IHNV
11292	Rabies virus (strain Pasteur vaccins / PV)	Rabies virus (RABV)	RABV
11303	Bovine ephemeral fever virus (strain BB7721)	Bovine ephemeral fever virus (BEFV)	BEFV
11320	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	Influenza A virus	Influenza A
113370	Spodoptera frugiperda ascovirus 1a (SfAV-1a)	Spodoptera frugiperda ascovirus 1a (SfAV-1a)	SfAV-1a
11520	Influenza B virus (strain B/Lee/1940)	Influenza B virus	Influenza B
11552	Influenza C virus (strain C/Ann Arbor/1/1950)	Influenza C virus	Influenza C
11569	Thogoto virus (isolate SiAr 126)	Thogoto virus	Tho
11588	Rift valley fever virus (strain ZH-548 M12)	Rift valley fever virus (RVFV)	RVFV
11591	Uukuniemi virus (strain S23)	Uukuniemi virus	Uuk
11593	Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970)	Crimean-Congo hemorrhagic fever virus (CCHFV)	CCHFV
11599	Hantaan virus (strain 76-118)	Hantaan virus	Hantaan
116056	Pelargonium zonate spot virus (isolate Tomato/Italy/1982)	Pelargonium zonate spot virus (PZSV)	PZSV
11613	Tomato spotted wilt virus (strain Brazilian Br-01)	Tomato spotted wilt virus (TSWV)	TSWV
11620	Lassa virus (strain Mouse/Sierra Leone/Josiah/1976)	Lassa virus (LASV)	LASV
11623	Lymphocytic choriomeningitis virus (strain Armstrong)	Lymphocytic choriomeningitis virus (LCMV)	LCMV
11631	Tacaribe virus (strain Franze-Fernandez)	Tacaribe virus (TCRV)	TCRV
11642	Simian foamy virus (isolate chimpanzee)	Simian foamy virus (SFVcpz)	SFVcpz
11676	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human immunodeficiency virus type 1 (HIV-1)	HIV-1
11709	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human immunodeficiency virus type 2 (HIV-2)	HIV-2
